iteracao;bnd;cliques;fenchel;limiteEnum;limiteVar;janelaModificada;valor_lifting;tempo
0;32.2939;0;0;0;0;0;0;0
1;35.2;0;127;0;1168;137;33;3.30324
2;36.75;0;193;0;1331;146;36;4.52807
3;37.375;0;151;0;8516;536;37;25.6959
4;38;0;18;0;409;81;38;1.31978
