iteracao;bnd;cliques;fenchel;limiteEnum;limiteVar;janelaModificada;valor_lifting;tempo
0;50.8421;0;0;0;0;0;0;0
1;52.3503;308;0;0;0;0;51;0.8125
2;53.3902;76;0;0;0;0;53;0.71875
3;54.1;65;0;0;0;0;54;0.78125
4;55;45;0;0;0;0;55;0.46875
