iteracao;bnd;cliques;fenchel;limiteEnum;limiteVar;janelaModificada;valor_lifting;tempo
0;15,3952;0;0;0;0;0;0;0
1;17,5;47;440;6;239;464;16;56,2188
2;18,6667;0;604;3;743;221;18;86,875
3;19,3333;3;39;0;0;104;19;2,64062
4;20;0;48;0;0;166;20;2,8125
