iteracao;bnd;cliques;fenchel;limiteEnum;limiteVar;janelaModificada;valor_lifting;tempo
0;50.8421;0;0;0;0;0;0;0
1;52.4134;366;93;0;0;229;51;145.214
2;53.4036;30;29;0;0;28;53;89.9529
3;54.1;75;23;0;0;16;54;59.1344
4;55;20;43;0;0;63;55;98.3933
