iteracao;bnd;c;cortes;tempo
0;31.4706;0;0;0
1;34.8147;32;90;0
2;36.5333;35;8;0
3;37.8;37;18;0
4;38.5455;38;0;0
5;39.2;39;4;0
6;40;40;0;0
