iteracao;bnd;cliques;fenchel;limiteEnum;limiteVar;janelaModificada;valor_lifting;tempo
0;15.3952;0;0;0;0;0;0;0
1;17.1892;0;710;0;1580;92;16;30.1562
2;18.4;0;153;0;1187;32;18;19.2031
3;19.1176;0;62;0;131;46;19;4.3125
4;20;0;505;0;1677;107;20;37.0312
