iteracao;bnd;cliques;fenchel;limiteEnum;limiteVar;janelaModificada;valor_lifting;tempo
0;15.3952;0;0;0;0;0;0;0
1;17.2159;0;323;0;733;67;16;12.4077
2;18.3889;0;112;0;470;24;18;6.01946
3;19.1667;0;119;0;617;30;19;7.92036
4;20;0;286;0;822;57;20;12.9111
