iteracao;bnd;cliques;fenchel;limiteEnum;limiteVar;janelaModificada;valor_lifting;tempo
0;15.3952;0;0;0;0;0;0;0
1;17.5;42;270;0;13;274;16;46.3906
2;18.625;6;566;0;1;546;18;105.547
3;19.3333;3;294;0;0;463;19;44.6406
4;20;0;98;0;0;296;20;8.65625
