iteracao;bnd;cliques;fenchel;limiteEnum;limiteVar;janelaModificada;valor_lifting;tempo
0;50.8421;0;0;0;0;0;0;0
1;52.0897;0;230;37;0;215;51;8002.25
2;53.2459;0;44;1;0;35;53;2289.86
3;54.0282;0;35;39;0;65;54;3418.71
4;55;0;159;55;0;77;55;6992.34
