iteracao;bnd;cliques;fenchel;limiteEnum;limiteVar;janelaModificada;valor_lifting;tempo
0;50.8421;0;0;0;0;0;0;0
1;52.1092;0;652;1986;0;1545;51;30390.6
2;53.2459;0;4;56;0;27;53;676.5
3;54.0303;0;96;528;15;110;54;7577.38
