iteracao;bnd;cliques;fenchel;limiteEnum;limiteVar;janelaModificada;valor_lifting;tempo
0;15.3952;0;0;0;0;0;0;0
1;17.1613;23;0;0;0;0;16;0.026705
2;18.4;6;0;0;0;0;18;0.026106
3;19.1667;3;0;0;0;0;19;0.020075
4;20;0;0;0;0;0;20;0.015511
