iteracao;bnd;cliques;fenchel;limiteEnum;limiteVar;janelaModificada;valor_lifting;tempo
0;50.8421;0;0;0;0;0;0;0
1;52.3018;0;1693;814;0;489;51;27017.7
2;53.3569;0;171;125;0;61;53;2825.97
3;54.0776;0;169;62;0;3;54;2078.11
4;55;0;245;94;0;130;55;3930.27
