iteracao;bnd;cliques;fenchel;limiteEnum;limiteVar;janelaModificada;valor_lifting;tempo
0;32,2939;0;0;0;0;0;0;0
1;35,5;121;70;53;3;405;33;11,7969
2;37;31;11;40;0;194;36;3,8125
3;37,5;14;41;32;0;658;37;7,60938
4;38;18;86;11;0;769;38;6,46875
