iteracao;bnd;cliques;fenchel;limiteEnum;limiteVar;janelaModificada;valor_lifting;tempo
0;50.8421;0;0;0;0;0;0;1
1;52.3503;334;2;0;0;108;51;1.80655
2;53.3929;74;2;0;0;18;53;2.08601
3;54.1;45;3;0;0;22;54;2.63051
4;55;49;2;0;0;0;55;1.77895
