iteracao;bnd;cliques;fenchel;limiteEnum;limiteVar;janelaModificada;valor_lifting;tempo
0;50.8421;0;0;0;0;0;0;0
1;52.4313;409;389;210;0;1457;51;12846
2;53.4036;30;70;60;0;27;53;908.375
3;54.1;67;72;60;0;95;54;1394.8
4;55;26;47;24;0;38;55;930.984
