iteracao;bnd;cliques;fenchel;limiteEnum;limiteVar;janelaModificada;valor_lifting;tempo
0;15.3952;0;0;0;0;0;0;0
1;17.1613;23;4;0;0;29;16;0.045578
2;18.4;5;1;0;0;8;18;0.037308
3;19.1667;2;0;0;0;10;19;0.039846
4;20;1;0;0;0;6;20;0.030114
