iteracao;bnd;cliques;fenchel;limiteEnum;limiteVar;janelaModificada;valor_lifting;tempo
0;50.8421;0;0;0;0;0;0;0
1;52.2806;0;1080;381;0;154;51;12346.8
2;53.3586;0;537;182;0;109;53;9328.88
