iteracao;bnd;cliques;fenchel;limiteEnum;limiteVar;janelaModificada;valor_lifting;tempo
0;32,2939;0;0;0;0;0;0;0
1;35,5;118;298;117;1125;729;33;91,75
2;37;20;118;12;83;424;36;16,0156
3;38;24;107;10;34;813;38;13,1875
