iteracao;bnd;cliques;fenchel;limiteEnum;limiteVar;janelaModificada;valor_lifting;tempo
0;32,2939;0;0;0;0;0;0;0
1;35,5;139;298;56;112;1421;33;162,344
2;37;2;31;0;0;370;36;3,59375
3;37,5;17;85;0;0;705;37;8,65625
4;38;3;50;0;0;471;38;5,48438
