iteracao;bnd;cliques;fenchel;limiteEnum;limiteVar;janelaModificada;valor_lifting;tempo
0;15.3952;0;0;0;0;0;0;0
1;17.5;0;382;0;8;668;16;28.2508
2;18.6667;0;307;0;0;280;18;22.4006
3;19.3333;0;18;0;0;47;19;2.05674
