iteracao;bnd;cliques;fenchel;limiteEnum;limiteVar;janelaModificada;valor_lifting;tempo
0;50,8421;0;0;0;0;0;0;0
1;52,4134;396;78;498;0;437;51;3581,33
2;53,4036;45;11;155;0;118;53;1009,47
3;54,104;43;35;293;0;8;54;1753,33
4;55;24;0;60;0;9;55;281,984
