iteracao;bnd;cliques;fenchel;limiteEnum;limiteVar;janelaModificada;valor_lifting;tempo
0;50.8421;0;0;0;0;0;0;0
1;52.4134;405;130;0;0;230;51;390.814
2;53.4036;38;118;0;0;194;53;2367.38
3;54.1;48;141;0;0;241;54;4081.31
4;55;22;66;0;0;82;55;573.591
