iteracao;bnd;cliques;fenchel;limiteEnum;limiteVar;janelaModificada;valor_lifting;tempo
0;32.2939;0;0;0;0;0;0;0
1;35.5;109;3;0;0;106;33;0.34375
2;37;16;5;0;0;91;36;0.328125
3;37.5;6;0;0;0;56;37;0.171875
4;38;0;0;0;0;50;38;0.09375
