iteracao;bnd;cliques;fenchel;limiteEnum;limiteVar;janelaModificada;valor_lifting;tempo
0;15,3952;0;0;0;0;0;0;0
1;17,1613;23;0;0;0;0;16;0,015625
2;18,4;5;0;0;0;0;18;0,046875
3;19,1667;0;0;0;0;0;19;0,046875
4;20;0;0;0;0;0;20;0,03125
