iteracao;bnd;cliques;fenchel;limiteEnum;limiteVar;janelaModificada;valor_lifting;tempo
0;50.8421;0;0;0;0;0;0;0
1;52.0897;0;224;102;0;155;51;6720.74
2;53.2459;0;37;30;0;49;53;1685.06
3;54.0282;0;61;69;0;75;54;3066.86
4;55;0;44;46;0;30;55;2454.78
