iteracao;bnd;cliques;fenchel;limiteEnum;limiteVar;janelaModificada;valor_lifting;tempo
0;15.3952;0;0;0;0;0;0;0
1;17.1793;31;41;0;0;86;16;0.507252
2;18.4;2;31;0;0;48;18;1.11019
3;19.1667;2;7;0;0;30;19;0.303025
4;20;2;5;0;0;14;20;0.174335
