iteracao;bnd;cliques;fenchel;limiteEnum;limiteVar;janelaModificada;valor_lifting;tempo
0;32.2939;0;0;0;0;0;0;0
1;35.5;143;172;0;0;756;33;70.8281
2;37;0;89;0;0;894;36;10.0938
3;37;3;156;0;0;1977;36;32.3906
