iteracao;bnd;c;cortes;tempo
0;33.3459;0;0;1
1;36.6793;34;0;0
2;38.3856;37;36;0
3;39.6783;39;9;0
4;40.375;40;43;1
5;41.0769;41;13;0
6;42;42;15;0
