iteracao;lb;ub;c;cortes;valor;tempo
0;0;25;0;15.3952;2
1;16;25;21;21,21;0
2;16;21;19;0,19;0
3;16;19;18;3,18.338;0
4;18;19;19;0,19.1667;0
4;19;19;19;-;-
