iteracao;bnd;cliques;fenchel;limiteEnum;limiteVar;janelaModificada;valor_lifting;tempo
0;15.3952;0;0;0;0;0;0;0
1;17.1613;23;1;0;0;23;16;0.051324
2;18.4;6;0;0;0;14;18;0.05172
3;19.1667;3;0;0;0;15;19;0.036793
4;20;0;0;0;0;8;20;0.027892
