iteracao;bnd;c;cortes;tempo
0;48.1448;0;0;1
1;50.7326;49;0;1
2;51.8781;51;0;1
3;52.5155;52;0;1
4;53.1933;53;0;2
5;54.0219;54;0;1
6;55;55;0;0
