iteracao;bnd;cliques;fenchel;limiteEnum;limiteVar;janelaModificada;valor_lifting;tempo
0;32,2939;0;0;0;0;0;0;0
1;35,5;107;0;0;0;0;33;0,09375
2;37;11;0;0;0;0;36;0,109375
3;37,5;0;0;0;0;0;37;0,03125
4;38;4;0;0;0;0;38;0,046875
