Step #22/1000 : T = 0.978, chosen = [1 1 0 1], t = [0.43098685 0.0261515  0.         0.23107541], cost = 4.39, new_chosen = [1 1 0 1], new_t = [0.43098685 0.02379786 0.         0.23107541], new_cost = 4.39 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #23/1000 : T = 0.977, chosen = [1 1 0 1], t = [0.43098685 0.02379786 0.         0.23107541], cost = 4.39, new_chosen = [1 1 0 1], new_t = [0.41374738 0.02379786 0.         0.23107541], new_cost = 4.39 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #24/1000 : T = 0.976, chosen = [1 1 0 1], t = [0.41374738 0.02379786 0.         0.23107541], cost = 4.39, new_chosen = [1 1 0 1], new_t = [0.41374738 0.02379786 0.         0.22414315], new_cost = 4.26 ...    - Acceptance probabilty = 1 as new_cost = 4.2587198410241225 < cost = 4.390432825798064...  ==> Accept it!
Step #25/1000 : T = 0.975, chosen = [1 1 0 1], t = [0.41374738 0.02379786 0.         0.22414315], cost = 4.26, new_chosen = [1 1 1 1], new_t = [0.41374738 0.02379786 0.73440738 0.22414315], new_cost = 11.6 ...    - Acceptance probabilty = 0.000535...  ==> Reject it...
Step #26/1000 : T = 0.974, chosen = [1 1 0 1], t = [0.41374738 0.02379786 0.         0.22414315], cost = 4.26, new_chosen = [1 1 0 1], new_t = [0.41374738 0.02379786 0.         0.79893501], new_cost = 15.2 ...    - Acceptance probabilty = 1.35e-05...  ==> Reject it...
Step #27/1000 : T = 0.973, chosen = [1 1 0 1], t = [0.41374738 0.02379786 0.         0.22414315], cost = 4.26, new_chosen = [1 1 0 1], new_t = [0.38478506 0.02379786 0.         0.22414315], new_cost = 4.26 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #28/1000 : T = 0.972, chosen = [1 1 0 1], t = [0.38478506 0.02379786 0.         0.22414315], cost = 4.26, new_chosen = [1 1 0 1], new_t = [0.38478506 0.02379786 0.         0.22190172], new_cost = 4.22 ...    - Acceptance probabilty = 1 as new_cost = 4.21613264261388 < cost = 4.2587198410241225...  ==> Accept it!
Step #29/1000 : T = 0.971, chosen = [1 1 0 1], t = [0.38478506 0.02379786 0.         0.22190172], cost = 4.22, new_chosen = [1 1 0 1], new_t = [0.38478506 0.02165605 0.         0.22190172], new_cost = 4.22 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #30/1000 : T = 0.97, chosen = [1 1 0 1], t = [0.38478506 0.02165605 0.         0.22190172], cost = 4.22, new_chosen = [1 1 0 1], new_t = [0.38478506 0.02122293 0.         0.22190172], new_cost = 4.22 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #31/1000 : T = 0.969, chosen = [1 1 0 1], t = [0.38478506 0.02122293 0.         0.22190172], cost = 4.22, new_chosen = [1 1 0 1], new_t = [0.40402432 0.02122293 0.         0.22190172], new_cost = 4.22 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #32/1000 : T = 0.968, chosen = [1 1 0 1], t = [0.40402432 0.02122293 0.         0.22190172], cost = 4.22, new_chosen = [1 1 0 1], new_t = [0.40402432 0.02249631 0.         0.22190172], new_cost = 4.22 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #33/1000 : T = 0.967, chosen = [1 1 0 1], t = [0.40402432 0.02249631 0.         0.22190172], cost = 4.22, new_chosen = [1 0 0 1], new_t = [0.40402432 0.         0.         0.22190172], new_cost = 4.22 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #34/1000 : T = 0.966, chosen = [1 0 0 1], t = [0.40402432 0.         0.         0.22190172], cost = 4.22, new_chosen = [1 0 0 1], new_t = [0.43634626 0.         0.         0.22190172], new_cost = 4.22 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #35/1000 : T = 0.965, chosen = [1 0 0 1], t = [0.43634626 0.         0.         0.22190172], cost = 4.22, new_chosen = [1 0 0 1], new_t = [0.43634626 0.         0.         0.24409189], new_cost = 4.64 ...    - Acceptance probabilty = 0.646...  ==> Accept it!
Step #36/1000 : T = 0.964, chosen = [1 0 0 1], t = [0.43634626 0.         0.         0.24409189], cost = 4.64, new_chosen = [1 0 0 1], new_t = [0.43634626 0.         0.         0.2318873 ], new_cost = 4.41 ...    - Acceptance probabilty = 1 as new_cost = 4.405858611531506 < cost = 4.637745906875269...  ==> Accept it!
Step #37/1000 : T = 0.963, chosen = [1 0 0 1], t = [0.43634626 0.         0.         0.2318873 ], cost = 4.41, new_chosen = [1 0 0 1], new_t = [0.42325587 0.         0.         0.2318873 ], new_cost = 4.41 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #38/1000 : T = 0.962, chosen = [1 0 0 1], t = [0.42325587 0.         0.         0.2318873 ], cost = 4.41, new_chosen = [1 0 0 1], new_t = [0.3893954 0.        0.        0.2318873], new_cost = 4.41 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #39/1000 : T = 0.961, chosen = [1 0 0 1], t = [0.3893954 0.        0.        0.2318873], cost = 4.41, new_chosen = [1 0 0 1], new_t = [0.3893954  0.         0.         0.23420617], new_cost = 4.45 ...    - Acceptance probabilty = 0.955...  ==> Accept it!
Step #40/1000 : T = 0.96, chosen = [1 0 0 1], t = [0.3893954  0.         0.         0.23420617], cost = 4.45, new_chosen = [1 0 0 1], new_t = [0.42054704 0.         0.         0.23420617], new_cost = 4.45 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #41/1000 : T = 0.959, chosen = [1 0 0 1], t = [0.42054704 0.         0.         0.23420617], cost = 4.45, new_chosen = [1 0 0 1], new_t = [0.42054704 0.         0.         0.21781174], new_cost = 4.14 ...    - Acceptance probabilty = 1 as new_cost = 4.1384229938115435 < cost = 4.449917197646821...  ==> Accept it!
Step #42/1000 : T = 0.958, chosen = [1 0 0 1], t = [0.42054704 0.         0.         0.21781174], cost = 4.14, new_chosen = [0 0 0 1], new_t = [0.         0.         0.         0.21781174], new_cost = 1e+03 ...    - Acceptance probabilty = 0...  ==> Reject it...
Step #43/1000 : T = 0.957, chosen = [1 0 0 1], t = [0.42054704 0.         0.         0.21781174], cost = 4.14, new_chosen = [1 0 1 1], new_t = [0.42054704 0.         0.73088903 0.21781174], new_cost = 11.4 ...    - Acceptance probabilty = 0.000482...  ==> Reject it...
Step #44/1000 : T = 0.956, chosen = [1 0 0 1], t = [0.42054704 0.         0.         0.21781174], cost = 4.14, new_chosen = [1 0 0 1], new_t = [0.87738474 0.         0.         0.21781174], new_cost = 4.14 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #45/1000 : T = 0.955, chosen = [1 0 0 1], t = [0.87738474 0.         0.         0.21781174], cost = 4.14, new_chosen = [1 0 0 1], new_t = [0.87738474 0.         0.         0.23305856], new_cost = 4.43 ...    - Acceptance probabilty = 0.738...  ==> Reject it...
Step #46/1000 : T = 0.954, chosen = [1 0 0 1], t = [0.87738474 0.         0.         0.21781174], cost = 4.14, new_chosen = [1 0 0 1], new_t = [0.82474166 0.         0.         0.21781174], new_cost = 4.14 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #47/1000 : T = 0.953, chosen = [1 0 0 1], t = [0.82474166 0.         0.         0.21781174], cost = 4.14, new_chosen = [1 0 0 1], new_t = [0.75876233 0.         0.         0.21781174], new_cost = 4.14 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #48/1000 : T = 0.952, chosen = [1 0 0 1], t = [0.75876233 0.         0.         0.21781174], cost = 4.14, new_chosen = [1 0 0 1], new_t = [0.75876233 0.         0.         0.88581297], new_cost = 16.8 ...    - Acceptance probabilty = 1.62e-06...  ==> Reject it...
Step #49/1000 : T = 0.951, chosen = [1 0 0 1], t = [0.75876233 0.         0.         0.21781174], cost = 4.14, new_chosen = [1 0 0 1], new_t = [0.36646834 0.         0.         0.21781174], new_cost = 4.14 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #50/1000 : T = 0.95, chosen = [1 0 0 1], t = [0.36646834 0.         0.         0.21781174], cost = 4.14, new_chosen = [1 0 0 1], new_t = [0.38479176 0.         0.         0.21781174], new_cost = 4.14 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #51/1000 : T = 0.949, chosen = [1 0 0 1], t = [0.38479176 0.         0.         0.21781174], cost = 4.14, new_chosen = [1 0 0 1], new_t = [0.38479176 0.         0.         0.23959291], new_cost = 4.55 ...    - Acceptance probabilty = 0.647...  ==> Accept it!
Step #52/1000 : T = 0.948, chosen = [1 0 0 1], t = [0.38479176 0.         0.         0.23959291], cost = 4.55, new_chosen = [1 0 0 1], new_t = [0.36940009 0.         0.         0.23959291], new_cost = 4.55 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #53/1000 : T = 0.947, chosen = [1 0 0 1], t = [0.36940009 0.         0.         0.23959291], cost = 4.55, new_chosen = [1 0 0 1], new_t = [0.35093008 0.         0.         0.23959291], new_cost = 4.55 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #54/1000 : T = 0.946, chosen = [1 0 0 1], t = [0.35093008 0.         0.         0.23959291], cost = 4.55, new_chosen = [1 0 0 1], new_t = [0.35093008 0.         0.         0.22521734], new_cost = 4.28 ...    - Acceptance probabilty = 1 as new_cost = 4.279129375601135 < cost = 4.552265293192698...  ==> Accept it!
Step #55/1000 : T = 0.945, chosen = [1 0 0 1], t = [0.35093008 0.         0.         0.22521734], cost = 4.28, new_chosen = [1 0 0 1], new_t = [0.12219495 0.         0.         0.22521734], new_cost = 4.28 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #56/1000 : T = 0.944, chosen = [1 0 0 1], t = [0.12219495 0.         0.         0.22521734], cost = 4.28, new_chosen = [1 0 0 1], new_t = [0.12219495 0.         0.         0.20945212], new_cost = 3.98 ...    - Acceptance probabilty = 1 as new_cost = 3.979590319309056 < cost = 4.279129375601135...  ==> Accept it!
Step #57/1000 : T = 0.943, chosen = [1 0 0 1], t = [0.12219495 0.         0.         0.20945212], cost = 3.98, new_chosen = [1 0 0 1], new_t = [0.1136413  0.         0.         0.20945212], new_cost = 3.98 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #58/1000 : T = 0.942, chosen = [1 0 0 1], t = [0.1136413  0.         0.         0.20945212], cost = 3.98, new_chosen = [1 0 0 1], new_t = [0.1136413  0.         0.         0.19269595], new_cost = 3.66 ...    - Acceptance probabilty = 1 as new_cost = 3.6612230937643315 < cost = 3.979590319309056...  ==> Accept it!
Step #59/1000 : T = 0.941, chosen = [1 0 0 1], t = [0.1136413  0.         0.         0.19269595], cost = 3.66, new_chosen = [1 0 0 1], new_t = [0.11932337 0.         0.         0.19269595], new_cost = 3.66 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #60/1000 : T = 0.94, chosen = [1 0 0 1], t = [0.11932337 0.         0.         0.19269595], cost = 3.66, new_chosen = [1 0 0 1], new_t = [0.11932337 0.         0.         0.17535332], new_cost = 3.33 ...    - Acceptance probabilty = 1 as new_cost = 3.3317130153255414 < cost = 3.6612230937643315...  ==> Accept it!
Step #61/1000 : T = 0.939, chosen = [1 0 0 1], t = [0.11932337 0.         0.         0.17535332], cost = 3.33, new_chosen = [1 0 0 1], new_t = [0.11932337 0.         0.         0.17009272], new_cost = 3.23 ...    - Acceptance probabilty = 1 as new_cost = 3.2317616248657752 < cost = 3.3317130153255414...  ==> Accept it!
Step #62/1000 : T = 0.938, chosen = [1 0 0 1], t = [0.11932337 0.         0.         0.17009272], cost = 3.23, new_chosen = [1 0 0 1], new_t = [0.1240963  0.         0.         0.17009272], new_cost = 3.23 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #63/1000 : T = 0.937, chosen = [1 0 0 1], t = [0.1240963  0.         0.         0.17009272], cost = 3.23, new_chosen = [1 0 0 1], new_t = [0.1240963  0.         0.         0.09724746], new_cost = 1e+03 ...    - Acceptance probabilty = 0...  ==> Reject it...
Step #64/1000 : T = 0.936, chosen = [1 0 0 1], t = [0.1240963  0.         0.         0.17009272], cost = 3.23, new_chosen = [1 0 0 1], new_t = [0.1240963  0.         0.         0.17689643], new_cost = 3.36 ...    - Acceptance probabilty = 0.871...  ==> Accept it!
Step #65/1000 : T = 0.935, chosen = [1 0 0 1], t = [0.1240963  0.         0.         0.17689643], cost = 3.36, new_chosen = [1 0 0 1], new_t = [0.1240963  0.         0.         0.19458607], new_cost =  3.7 ...    - Acceptance probabilty = 0.698...  ==> Accept it!
Step #66/1000 : T = 0.934, chosen = [1 0 0 1], t = [0.1240963  0.         0.         0.19458607], cost =  3.7, new_chosen = [1 0 1 1], new_t = [0.1240963  0.         0.45158942 0.19458607], new_cost = 8.21 ...    - Acceptance probabilty = 0.00795...  ==> Reject it...
Step #67/1000 : T = 0.933, chosen = [1 0 0 1], t = [0.1240963  0.         0.         0.19458607], cost =  3.7, new_chosen = [1 0 0 1], new_t = [0.74553543 0.         0.         0.19458607], new_cost =  3.7 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #68/1000 : T = 0.932, chosen = [1 0 0 1], t = [0.74553543 0.         0.         0.19458607], cost =  3.7, new_chosen = [1 0 0 1], new_t = [0.74553543 0.         0.         0.17901918], new_cost =  3.4 ...    - Acceptance probabilty = 1 as new_cost = 3.401364474938732 < cost = 3.6971352988464474...  ==> Accept it!
Step #69/1000 : T = 0.931, chosen = [1 0 0 1], t = [0.74553543 0.         0.         0.17901918], cost =  3.4, new_chosen = [0 0 0 1], new_t = [0.         0.         0.         0.17901918], new_cost = 1e+03 ...    - Acceptance probabilty = 0...  ==> Reject it...
Step #70/1000 : T = 0.93, chosen = [1 0 0 1], t = [0.74553543 0.         0.         0.17901918], cost =  3.4, new_chosen = [1 0 0 1], new_t = [0.74553543 0.         0.         0.71003798], new_cost = 13.5 ...    - Acceptance probabilty = 1.94e-05...  ==> Reject it...
Step #71/1000 : T = 0.929, chosen = [1 0 0 1], t = [0.74553543 0.         0.         0.17901918], cost =  3.4, new_chosen = [1 0 0 0], new_t = [0.74553543 0.         0.         0.        ], new_cost = 1e+03 ...    - Acceptance probabilty = 0...  ==> Reject it...
Step #72/1000 : T = 0.928, chosen = [1 0 0 1], t = [0.74553543 0.         0.         0.17901918], cost =  3.4, new_chosen = [1 0 1 1], new_t = [0.74553543 0.         0.66494144 0.17901918], new_cost = 10.1 ...    - Acceptance probabilty = 0.000773...  ==> Reject it...
Step #73/1000 : T = 0.927, chosen = [1 0 0 1], t = [0.74553543 0.         0.         0.17901918], cost =  3.4, new_chosen = [1 0 0 1], new_t = [0.80517827 0.         0.         0.17901918], new_cost =  3.4 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #74/1000 : T = 0.926, chosen = [1 0 0 1], t = [0.80517827 0.         0.         0.17901918], cost =  3.4, new_chosen = [0 0 0 1], new_t = [0.         0.         0.         0.17901918], new_cost = 1e+03 ...    - Acceptance probabilty = 0...  ==> Reject it...
Step #75/1000 : T = 0.925, chosen = [1 0 0 1], t = [0.80517827 0.         0.         0.17901918], cost =  3.4, new_chosen = [1 0 0 1], new_t = [0.77297113 0.         0.         0.17901918], new_cost =  3.4 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #76/1000 : T = 0.924, chosen = [1 0 0 1], t = [0.77297113 0.         0.         0.17901918], cost =  3.4, new_chosen = [1 0 0 1], new_t = [0.77297113 0.         0.         0.18976033], new_cost = 3.61 ...    - Acceptance probabilty = 0.802...  ==> Accept it!
Step #77/1000 : T = 0.923, chosen = [1 0 0 1], t = [0.77297113 0.         0.         0.18976033], cost = 3.61, new_chosen = [1 0 0 0], new_t = [0.77297113 0.         0.         0.        ], new_cost = 1e+03 ...    - Acceptance probabilty = 0...  ==> Reject it...
Step #78/1000 : T = 0.922, chosen = [1 0 0 1], t = [0.77297113 0.         0.         0.18976033], cost = 3.61, new_chosen = [1 0 0 1], new_t = [0.38668256 0.         0.         0.18976033], new_cost = 3.61 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #79/1000 : T = 0.921, chosen = [1 0 0 1], t = [0.38668256 0.         0.         0.18976033], cost = 3.61, new_chosen = [1 0 0 1], new_t = [0.41761717 0.         0.         0.18976033], new_cost = 3.61 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #80/1000 : T = 0.92, chosen = [1 0 0 1], t = [0.41761717 0.         0.         0.18976033], cost = 3.61, new_chosen = [1 0 0 1], new_t = [0.15996935 0.         0.         0.18976033], new_cost = 3.61 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #81/1000 : T = 0.919, chosen = [1 0 0 1], t = [0.15996935 0.         0.         0.18976033], cost = 3.61, new_chosen = [1 0 0 1], new_t = [0.15676996 0.         0.         0.18976033], new_cost = 3.61 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #82/1000 : T = 0.918, chosen = [1 0 0 1], t = [0.15676996 0.         0.         0.18976033], cost = 3.61, new_chosen = [1 1 0 1], new_t = [0.15676996 0.38083459 0.         0.18976033], new_cost = 3.61 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #83/1000 : T = 0.917, chosen = [1 1 0 1], t = [0.15676996 0.38083459 0.         0.18976033], cost = 3.61, new_chosen = [1 1 0 1], new_t = [0.15676996 0.38083459 0.         0.18216992], new_cost = 3.46 ...    - Acceptance probabilty = 1 as new_cost = 3.4612284896976533 < cost = 3.6054463434350557...  ==> Accept it!
Step #84/1000 : T = 0.916, chosen = [1 1 0 1], t = [0.15676996 0.38083459 0.         0.18216992], cost = 3.46, new_chosen = [1 1 0 1], new_t = [0.15676996 0.39606797 0.         0.18216992], new_cost = 3.46 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #85/1000 : T = 0.915, chosen = [1 1 0 1], t = [0.15676996 0.39606797 0.         0.18216992], cost = 3.46, new_chosen = [1 1 0 1], new_t = [0.15676996 0.39606797 0.         0.18399162], new_cost =  3.5 ...    - Acceptance probabilty = 0.963...  ==> Accept it!
Step #86/1000 : T = 0.914, chosen = [1 1 0 1], t = [0.15676996 0.39606797 0.         0.18399162], cost =  3.5, new_chosen = [1 1 0 1], new_t = [0.14893146 0.39606797 0.         0.18399162], new_cost =  3.5 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #87/1000 : T = 0.913, chosen = [1 1 0 1], t = [0.14893146 0.39606797 0.         0.18399162], cost =  3.5, new_chosen = [1 1 0 1], new_t = [0.14893146 0.74853499 0.         0.18399162], new_cost =  3.5 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #88/1000 : T = 0.912, chosen = [1 1 0 1], t = [0.14893146 0.74853499 0.         0.18399162], cost =  3.5, new_chosen = [1 1 0 1], new_t = [0.14893146 0.74853499 0.         0.14067875], new_cost = 2.67 ...    - Acceptance probabilty = 1 as new_cost = 2.672896237471543 < cost = 3.49584077459463...  ==> Accept it!
Step #89/1000 : T = 0.911, chosen = [1 1 0 1], t = [0.14893146 0.74853499 0.         0.14067875], cost = 2.67, new_chosen = [1 1 0 1], new_t = [0.15339941 0.74853499 0.         0.14067875], new_cost = 2.67 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #90/1000 : T = 0.91, chosen = [1 1 0 1], t = [0.15339941 0.74853499 0.         0.14067875], cost = 2.67, new_chosen = [1 1 0 1], new_t = [0.15339941 0.43943447 0.         0.14067875], new_cost = 2.67 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #91/1000 : T = 0.909, chosen = [1 1 0 1], t = [0.15339941 0.43943447 0.         0.14067875], cost = 2.67, new_chosen = [1 1 0 1], new_t = [0.15339941 0.43943447 0.         0.13786517], new_cost = 2.62 ...    - Acceptance probabilty = 1 as new_cost = 2.6194383127221124 < cost = 2.672896237471543...  ==> Accept it!
Step #92/1000 : T = 0.908, chosen = [1 1 0 1], t = [0.15339941 0.43943447 0.         0.13786517], cost = 2.62, new_chosen = [1 1 0 1], new_t = [0.15339941 0.40427971 0.         0.13786517], new_cost = 2.62 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #93/1000 : T = 0.907, chosen = [1 1 0 1], t = [0.15339941 0.40427971 0.         0.13786517], cost = 2.62, new_chosen = [1 1 0 1], new_t = [0.15339941 0.40023692 0.         0.13786517], new_cost = 2.62 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #94/1000 : T = 0.906, chosen = [1 1 0 1], t = [0.15339941 0.40023692 0.         0.13786517], cost = 2.62, new_chosen = [1 1 1 1], new_t = [0.15339941 0.40023692 0.28711608 0.13786517], new_cost = 5.49 ...    - Acceptance probabilty = 0.042...  ==> Reject it...
Step #95/1000 : T = 0.905, chosen = [1 1 0 1], t = [0.15339941 0.40023692 0.         0.13786517], cost = 2.62, new_chosen = [1 1 0 1], new_t = [0.16720535 0.40023692 0.         0.13786517], new_cost = 2.62 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #96/1000 : T = 0.904, chosen = [1 1 0 1], t = [0.16720535 0.40023692 0.         0.13786517], cost = 2.62, new_chosen = [1 1 0 1], new_t = [0.45701166 0.40023692 0.         0.13786517], new_cost = 2.62 ...    - Acceptance probabilty = 1...  ==> Accept it!
Step #97/1000 : T = 0.903, chosen = [1 1 0 1], t = [0.45701166 0.40023692 0.         0.13786517], cost = 2.62, new_chosen = [1 1 0 1], new_t = [0.45701166 0.40023692 0.         0.12545731], new_cost = 2.38 ...    - Acceptance probabilty = 1 as new_cost = 2.3836888645771226 < cost = 2.6194383127221124...  ==> Accept it!
Step #98/1000 : T = 0.902, chosen = [1 1 0 1], t = [0.45701166 0.40023692 0.         0.12545731], cost = 2.38, new_chosen = [1 1 0 1], new_t = [0.45701166 0.36421559 0.         0.12545731], new_cost = 2.38 ...    - Acceptance probabilty = 1...  ==> Accept it!
