type,try,maxstep,minimum,maximum,exact,first,last,time,cuts
SA,0,1000,3,3,3,15.0,18.5,0.28,7
SA,1,1000,3,3,3,15.0,18.5,0.12,7
SA,2,1000,3,3,3,15.0,18.5,0.12,7
SA,3,1000,3,3,3,15.0,18.5,0.12,7
SA,4,1000,3,3,3,15.0,18.5,0.11,7
SA,0,5000,3,3,3,15.0,18.5,0.12,7
SA,1,5000,3,3,3,15.0,18.5,0.12,7
SA,2,5000,3,3,3,15.0,18.5,0.12,7
SA,3,5000,3,3,3,15.0,18.5,0.11,7
SA,4,5000,3,3,3,15.0,18.5,0.11,7
SA,0,10000,3,3,3,15.0,18.5,0.12,7
SA,1,10000,3,3,3,15.0,18.5,0.11,7
SA,2,10000,3,3,3,15.0,18.5,0.12,7
SA,3,10000,3,3,3,15.0,18.5,0.11,7
SA,4,10000,3,3,3,15.0,18.5,0.12,7
SA,0,50000,3,3,3,15.0,18.5,0.13,7
SA,1,50000,3,3,3,15.0,18.5,0.12,7
SA,2,50000,3,3,3,15.0,18.5,0.12,7
SA,3,50000,3,3,3,15.0,18.5,0.11,7
SA,4,50000,3,3,3,15.0,18.5,0.12,7
SA,0,100000,3,3,3,15.0,18.5,0.12,7
SA,1,100000,3,3,3,15.0,18.5,0.11,7
SA,2,100000,3,3,3,15.0,18.5,0.11,7
SA,3,100000,3,3,3,15.0,18.5,0.11,7
SA,4,100000,3,3,3,15.0,18.5,0.11,7
SA,0,500000,3,3,3,15.0,18.5,0.12,7
SA,1,500000,3,3,3,15.0,18.5,0.13,7
SA,2,500000,3,3,3,15.0,18.5,0.12,7
SA,3,500000,3,3,3,15.0,18.5,0.12,7
SA,4,500000,3,3,3,15.0,18.5,0.12,7
SA,0,1000000,3,3,3,15.0,18.5,0.13,7
SA,1,1000000,3,3,3,15.0,18.5,0.13,7
SA,2,1000000,3,3,3,15.0,18.5,0.11,7
SA,3,1000000,3,3,3,15.0,18.5,0.12,7
SA,4,1000000,3,3,3,15.0,18.5,0.12,7
