type,try,maxstep,minimum,maximum,exact,first,last,time,cuts
SA,0,1000,2,4,0,29.0,30.440683760683765,1.41,20
SA,1,1000,2,4,0,29.0,30.44068376068376,1.39,17
SA,2,1000,2,4,0,29.0,30.440683760683754,1.0,14
SA,3,1000,2,4,0,29.0,30.44068376068377,1.55,16
SA,4,1000,2,4,0,29.0,30.440683760683758,1.04,18
SA,0,5000,2,4,0,29.0,30.440683760683754,1.8,19
SA,1,5000,2,4,0,29.0,30.440683760683758,1.78,16
SA,2,5000,2,4,0,29.0,30.440683760683754,2.99,20
SA,3,5000,2,4,0,29.0,30.440683760683758,2.97,20
SA,4,5000,2,4,0,29.0,30.440683760683758,2.94,21
SA,0,10000,2,4,0,29.0,30.440683760683758,3.88,29
SA,1,10000,2,4,0,29.0,30.440683760683765,3.07,20
SA,2,10000,2,4,0,29.0,30.440683760683758,2.34,18
SA,3,10000,2,4,0,29.0,30.440683760683758,3.08,25
SA,4,10000,2,4,0,29.0,30.440683760683765,3.11,19
SA,0,50000,2,4,0,29.0,30.44068376068376,4.68,27
SA,1,50000,2,4,0,29.0,30.44068376068376,6.2,20
SA,2,50000,2,4,0,29.0,30.440683760683754,4.74,29
SA,3,50000,2,4,0,29.0,30.440683760683754,6.8,27
SA,4,50000,2,4,0,29.0,30.44068376068375,5.12,22
SA,0,100000,2,4,0,29.0,30.440683760683754,7.23,23
SA,1,100000,2,4,0,29.0,30.44068376068375,7.01,23
SA,2,100000,2,4,0,29.0,30.44068376068375,7.19,23
SA,3,100000,2,4,0,29.0,30.440683760683754,7.24,21
SA,4,100000,2,4,0,29.0,30.44068376068375,7.09,23
SA,0,500000,2,4,0,29.0,30.440683760683758,14.35,20
SA,1,500000,2,4,0,29.0,30.440683760683754,15.35,28
SA,2,500000,2,4,0,29.0,30.440683760683754,15.49,30
SA,3,500000,2,4,0,29.0,30.440683760683754,40.9,29
SA,4,500000,2,4,0,29.0,30.44068376068376,35.58,28
SA,0,1000000,2,4,0,29.0,30.44068376068376,47.19,34
SA,1,1000000,2,4,0,29.0,30.44068376068375,25.65,24
SA,2,1000000,2,4,0,29.0,30.440683760683758,42.09,30
SA,3,1000000,2,4,0,29.0,30.440683760683754,24.79,23
SA,4,1000000,2,4,0,29.0,30.440683760683754,23.75,23
