type,try,maxstep,minimum,maximum,exact,first,last,time,cuts
SA,0,1000,4,3,4,15.0,21.3,0.34,11
SA,1,1000,4,3,4,15.0,21.3,0.17,11
SA,2,1000,4,3,4,15.0,21.3,0.12,11
SA,3,1000,4,3,4,15.0,21.3,0.24,11
SA,4,1000,4,3,4,15.0,21.3,0.28,11
SA,0,5000,4,3,4,15.0,21.3,0.2,11
SA,1,5000,4,3,4,15.0,21.3,0.22,11
SA,2,5000,4,3,4,15.0,21.3,0.2,11
SA,3,5000,4,3,4,15.0,21.3,0.17,11
SA,4,5000,4,3,4,15.0,21.3,0.2,11
SA,0,10000,4,3,4,15.0,21.3,0.25,11
SA,1,10000,4,3,4,15.0,21.3,0.27,11
SA,2,10000,4,3,4,15.0,21.3,0.13,11
SA,3,10000,4,3,4,15.0,21.3,0.24,11
SA,4,10000,4,3,4,15.0,21.3,0.26,11
SA,0,50000,4,3,4,15.0,21.3,0.24,11
SA,1,50000,4,3,4,15.0,21.3,0.19,11
SA,2,50000,4,3,4,15.0,21.3,0.22,11
SA,3,50000,4,3,4,15.0,21.3,0.14,11
SA,4,50000,4,3,4,15.0,21.3,0.22,11
SA,0,100000,4,3,4,15.0,21.3,0.16,11
SA,1,100000,4,3,4,15.0,21.3,0.18,11
SA,2,100000,4,3,4,15.0,21.3,0.15,11
SA,3,100000,4,3,4,15.0,21.3,0.2,11
SA,4,100000,4,3,4,15.0,21.3,0.12,11
SA,0,500000,4,3,4,15.0,21.3,0.23,11
SA,1,500000,4,3,4,15.0,21.3,0.23,11
SA,2,500000,4,3,4,15.0,21.3,0.13,11
SA,3,500000,4,3,4,15.0,21.3,0.13,11
SA,4,500000,4,3,4,15.0,21.3,0.23,11
SA,0,1000000,4,3,4,15.0,21.3,0.13,11
SA,1,1000000,4,3,4,15.0,21.3,0.23,11
SA,2,1000000,4,3,4,15.0,21.3,0.24,11
SA,3,1000000,4,3,4,15.0,21.3,0.13,11
SA,4,1000000,4,3,4,15.0,21.3,0.19,11
