type,try,maxstep,minimum,maximum,exact,first,last,time,cuts
SA,0,1000,2,3,0,15.0,21.3,1.3,9
SA,1,1000,2,3,0,15.0,21.3,1.54,12
SA,2,1000,2,3,0,15.0,21.3,1.53,10
SA,3,1000,2,3,0,15.0,21.3,1.53,10
SA,4,1000,2,3,0,15.0,21.3,1.54,10
SA,0,5000,2,3,0,15.0,21.3,2.27,11
SA,1,5000,2,3,0,15.0,21.3,2.12,9
SA,2,5000,2,3,0,15.0,21.3,2.78,10
SA,3,5000,2,3,0,15.0,21.3,3.04,10
SA,4,5000,2,3,0,15.0,21.3,2.4,10
SA,0,10000,2,3,0,15.0,21.3,3.08,9
SA,1,10000,2,3,0,15.0,21.3,3.06,9
SA,2,10000,2,3,0,15.0,21.3,3.09,11
SA,3,10000,2,3,0,15.0,21.3,3.11,11
SA,4,10000,2,3,0,15.0,21.3,3.36,11
SA,0,50000,2,3,0,15.0,21.3,6.64,11
SA,1,50000,2,3,0,15.0,21.3,6.97,11
SA,2,50000,2,3,0,15.0,21.3,6.55,10
SA,3,50000,2,3,0,15.0,21.3,6.44,10
SA,4,50000,2,3,0,15.0,21.3,7.09,11
SA,0,100000,2,3,0,15.0,21.3,9.02,11
SA,1,100000,2,3,0,15.0,21.3,9.97,11
SA,2,100000,2,3,0,15.0,21.3,11.85,12
SA,3,100000,2,3,0,15.0,21.3,12.32,11
SA,4,100000,2,3,0,15.0,21.3,9.73,11
SA,0,500000,2,3,0,15.0,21.3,26.99,12
SA,1,500000,2,3,0,15.0,21.3,20.59,11
SA,2,500000,2,3,0,15.0,21.3,24.55,10
SA,3,500000,2,3,0,15.0,21.3,27.68,10
SA,4,500000,2,3,0,15.0,21.3,20.66,11
SA,0,1000000,2,3,0,15.0,21.3,39.07,12
SA,1,1000000,2,3,0,15.0,21.3,37.74,10
SA,2,1000000,2,3,0,15.0,21.3,37.24,11
SA,3,1000000,2,3,0,15.0,21.3,27.35,11
SA,4,1000000,2,3,0,15.0,21.3,36.85,12
